"","E0","sim_start","int_start1","int_length2","sd_m1","sd_m2","int_start2","int_length1","beta0est","paramset","iso_start","log_lik","R0_base","R0_int"
"1",3,2020-02-11,2020-03-07,77,0.8501953125,0.29365234375,2020-03-17,10,1.15208323778859,1,2020-06-02,-25.2895103239946,3.60026011808934,1.05722482178659
"2",7,2020-02-25,2020-03-02,107,0.7001953125,0.16865234375,2020-03-17,15,0.38895140009039,2,2020-07-02,-186.203806446662,1.21547312528247,0.204992391344026
"3",8,2020-02-05,2020-03-05,62,0.6251953125,0.23115234375,2020-03-17,12,0.943815900808641,3,2020-05-18,-26.746718386813,2.949424690027,0.681766429813859
"4",5,2020-02-18,2020-03-09,92,0.7751953125,0.10615234375,2020-03-17,8,1.47611532571063,4,2020-06-17,-25.6416381007926,4.61286039284573,0.48966594209212
"5",6,2020-02-01,2020-03-01,84,0.6626953125,0.07490234375,2020-03-17,16,0.966655221799199,5,2020-06-09,-28.1765534470496,3.0207975681225,0.226264817846675
"6",9,2020-02-15,2020-03-06,114,0.8126953125,0.19990234375,2020-03-17,11,1.13989891015777,6,2020-07-09,-25.4408311562126,3.56218409424302,0.712088949308151
"7",7,2020-02-08,2020-03-08,69,0.8876953125,0.13740234375,2020-03-17,9,0.968581659131268,7,2020-05-25,-26.4691337084439,3.02681768478521,0.415891843993437
"8",4,2020-02-22,2020-03-04,99,0.7376953125,0.26240234375,2020-03-17,13,1.73018034853007,8,2020-06-24,-24.4250490688083,5.40681358915646,1.418760558014
"9",4,2020-02-03,2020-03-10,118,0.6814453125,0.24677734375,2020-03-17,7,0.946328838054417,9,2020-07-13,-26.3168247463029,2.95727761892005,0.729789115528416
"10",8,2020-02-17,2020-03-05,88,0.8314453125,0.12177734375,2020-03-17,12,1.28945485538195,10,2020-06-13,-25.5992300713898,4.02954642306858,0.490707459918606
"11",10,2020-02-10,2020-03-03,103,0.7564453125,0.18427734375,2020-03-17,14,1.026198364418,11,2020-06-28,-26.0280087108448,3.20686988880625,0.590953464861074
"12",6,2020-02-23,2020-03-07,73,0.6064453125,0.05927734375,2020-03-17,10,2.00381095874197,12,2020-05-29,-25.6330852028195,6.26190924606865,0.371189346910515
"13",5,2020-02-06,2020-03-04,111,0.7939453125,0.09052734375,2020-03-17,13,1.03601491085249,13,2020-07-06,-27.093717496814,3.23754659641403,0.293086493640216
"14",9,2020-02-20,2020-03-09,81,0.6439453125,0.21552734375,2020-03-17,8,1.40397991332228,14,2020-06-06,-24.552885832914,4.38743722913213,0.945612691864708
"15",7,2020-01-31,2020-03-06,96,0.7189453125,0.15302734375,2020-03-17,11,0.879991535570879,15,2020-06-21,-27.8877695813915,2.749973548659,0.420821147534048
"16",3,2020-02-13,2020-03-02,66,0.8689453125,0.27802734375,2020-03-17,15,1.26347554932442,16,2020-05-22,-24.8925895798495,3.94836109163881,1.09775234647419
