REPORT_DATE,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,CURRENT_HOSPITALIZED,TOTAL_TESTED,TOTAL_CASES_GENDER_FEMALE,TOTAL_CASES_GENDER_MALE,TOTAL_CASES_GENDER_UNKNOWN,TOTAL_CASES_AGE_0_TO_20,TOTAL_CASES_AGE_21_TO_40,TOTAL_CASES_AGE_41_TO_60,TOTAL_CASES_AGE_61_TO_80,TOTAL_CASES_AGE_81_TO_100
2020-03-01,1,1,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-02,0,1,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-03,0,1,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-04,2,3,NULL,NULL,NULL,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-05,1,4,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-06,4,8,NULL,NULL,NULL,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-07,0,8,NULL,NULL,NULL,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-08,2,10,NULL,NULL,NULL,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-09,1,11,NULL,NULL,NULL,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-10,3,14,NULL,NULL,NULL,55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-11,1,15,NULL,NULL,NULL,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-12,8,23,NULL,NULL,NULL,103,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-13,6,29,NULL,NULL,NULL,148,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-14,2,31,NULL,NULL,NULL,154,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-15,3,34,NULL,NULL,NULL,179,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-16,3,37,NULL,NULL,NULL,220,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-17,5,42,NULL,NULL,NULL,303,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-18,2,44,NULL,NULL,NULL,388,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-19,1,45,NULL,NULL,NULL,465,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-20,5,50,NULL,NULL,NULL,606,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-21,10,60,NULL,NULL,11,859,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-22,12,72,2,2,15,1096,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-23,13,85,0,2,13,1285,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-24,25,110,1,3,15,1436,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-25,22,132,0,3,20,1862,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-26,14,146,0,3,25,2204,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-27,23,169,0,3,23,2583,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-28,15,184,0,3,28,2946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-29,19,203,0,3,25,3360,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-30,21,224,0,3,23,3577,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-03-31,28,252,0,3,28,3878,126,123,1,7,69,96,72,6
2020-04-01,24,276,0,3,31,4083,143,132,1,8,77,108,77,6
2020-04-02,33,309,2,5,32,4500,162,144,1,9,84,123,82,8
2020-04-03,49,358,1,6,31,4938,189,162,2,11,90,139,97,15
2020-04-04,25,442,0,7,29,5835,239,198,5,13,132,162,115,18
2020-04-05,31,389,0,6,31,5256,207,174,5,11,107,146,105,15
2020-04-06,28,417,1,7,30,5602,225,187,5,12,119,156,112,16
2020-04-07,19,461,0,7,30,6025,250,207,5,13,144,168,117,18
2020-04-08,23,484,1,8,31,6307,261,217,6,14,154,175,118,21
2020-04-09,,,,,35,,,,,,,,,
2020-04-10,,,,,42,,,,,,,,,
