"","day","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","median"
"1",1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"2",2,18,15,17,18,13,18,19,16,14,17,18,17,18,16,17,19,17,15,19,19,16,18,13,18,17,16,16,18,15,18,19,17,17,17,16,17,17,16,19,19,17,17,17,18,18,17,17,19,17,18,17
"3",3,15,14,16,13,10,16,17,15,14,17,18,14,17,16,14,15,15,15,17,17,17,16,18,14,17,16,17,19,14,16,17,21,21,16,15,16,15,14,19,16,16,16,16,18,15,16,19,17,15,15,16
"4",4,22,18,19,12,15,15,15,17,17,17,16,15,14,16,17,20,13,14,17,19,19,14,17,16,18,17,19,16,15,16,18,25,19,15,14,15,16,17,20,15,14,15,18,18,16,17,15,16,17,21,16.5
"5",5,24,18,22,14,16,13,17,18,19,17,16,17,14,15,22,27,14,17,17,23,21,17,20,20,17,18,18,15,14,13,14,30,17,13,15,17,18,18,20,16,17,21,19,19,18,18,17,19,18,20,17.5
"6",6,29,18,24,19,18,13,12,21,22,21,18,20,22,22,25,26,16,18,28,22,21,20,19,21,20,17,15,17,11,15,20,35,22,11,16,23,18,14,20,20,16,24,25,26,16,17,23,18,17,17,20
"7",7,33,17,26,23,22,16,24,26,25,25,19,23,18,22,27,28,16,18,27,26,22,25,17,18,25,22,17,20,12,21,21,33,28,9,22,22,21,13,23,20,19,33,27,26,14,19,23,20,18,24,22
"8",8,39,28,30,23,28,20,21,25,24,22,23,25,15,30,27,26,25,16,36,28,23,27,21,23,28,29,27,20,14,21,26,44,32,14,25,26,19,16,26,19,25,36,27,30,18,22,30,23,20,24,25
"9",9,50,29,35,33,31,18,23,28,28,29,30,29,15,39,29,32,33,20,45,27,24,34,22,22,29,29,31,14,21,22,33,54,35,15,30,37,27,24,34,22,29,36,30,33,20,24,36,26,18,24,29
"10",10,53,35,48,35,38,20,27,31,31,41,33,33,19,39,30,37,36,23,58,41,27,39,30,23,27,40,29,21,25,27,31,60,40,20,40,42,29,29,37,30,31,34,48,32,28,30,43,22,21,30,31
"11",11,65,37,53,39,46,24,28,37,38,50,40,36,23,41,40,41,42,22,61,49,29,45,32,23,32,42,41,26,31,29,40,65,43,21,43,51,47,26,46,41,34,47,56,34,31,36,48,26,23,31,39.5
"12",12,91,50,64,40,48,30,27,41,41,53,51,47,35,47,38,53,51,23,71,60,37,55,33,31,36,52,43,30,32,34,49,84,48,36,49,62,51,34,60,41,37,53,56,47,39,41,49,26,32,35,45
"13",13,103,55,70,51,51,34,31,53,53,57,58,54,35,50,44,65,57,26,75,72,44,57,38,33,46,50,50,37,38,33,55,102,57,46,60,64,56,40,64,46,47,57,67,62,47,45,49,35,34,44,50.5
"14",14,114,59,84,59,65,38,30,60,57,60,70,59,45,60,53,74,63,24,77,76,46,76,47,47,55,58,56,43,46,33,58,119,64,54,73,68,68,43,79,56,57,68,75,68,50,44,59,48,44,58,58.5
"15",15,119,71,89,72,76,45,33,73,65,73,77,60,48,66,56,84,84,24,88,84,44,93,65,56,55,61,69,58,43,40,54,141,73,69,79,83,78,45,101,58,69,76,93,77,61,51,65,55,35,66,67.5
"16",16,133,80,119,74,91,48,42,91,84,82,76,78,60,95,59,106,86,28,106,95,60,97,70,61,62,73,80,67,44,47,73,160,85,78,89,100,87,60,108,74,79,94,109,88,66,56,75,58,36,76,78
"17",17,160,90,149,77,102,57,51,93,96,88,95,98,63,117,69,120,100,27,131,98,61,114,67,71,67,76,86,81,48,54,80,180,95,84,107,96,103,72,124,81,86,114,121,93,80,70,92,71,46,90,89
"18",18,192,119,173,95,133,67,57,105,113,106,121,118,79,119,65,142,106,24,145,116,79,129,72,84,78,91,93,93,58,68,98,207,120,111,119,115,116,80,139,99,104,136,142,107,87,86,105,75,48,105,105
"19",19,209,131,202,112,159,88,56,121,123,138,131,128,102,139,75,167,133,27,161,150,109,153,93,96,96,100,107,94,61,80,106,249,147,124,130,148,143,91,168,126,125,152,174,118,102,94,113,86,66,124,123.5
"20",20,257,154,217,142,173,105,67,140,133,180,167,145,112,146,100,180,161,42,195,173,130,183,113,108,109,122,115,120,89,97,131,285,167,146,167,182,153,101,172,147,148,181,196,126,113,108,123,103,71,140,141
"21",21,316,170,259,151,194,124,79,177,183,214,180,172,129,179,100,197,197,48,228,207,153,235,133,122,134,156,137,128,105,128,149,324,183,165,199,217,179,119,204,176,164,182,216,140,140,109,146,103,87,159,164.5
"22",22,341,195,309,197,219,154,91,200,211,238,203,205,144,202,124,233,221,64,246,232,172,263,156,142,139,183,165,158,133,142,178,393,215,197,232,237,206,138,235,196,193,222,245,164,165,133,171,118,89,192,195.5
"23",23,411,206,362,221,278,166,102,229,263,269,241,251,159,244,151,276,249,72,285,256,203,294,189,157,174,214,190,172,150,148,226,438,259,220,279,269,224,162,277,222,208,253,299,173,188,147,200,132,104,221,221
"24",24,484,242,412,256,305,186,114,272,307,305,278,297,193,268,173,299,284,85,323,309,230,336,217,198,208,231,224,195,193,181,251,524,318,262,331,311,274,199,336,248,243,300,324,213,237,189,250,149,110,265,253.5
"25",25,540,273,490,273,355,217,128,318,345,362,298,367,217,331,202,333,360,89,384,367,288,386,254,230,263,268,282,227,222,210,281,614,373,316,391,390,284,225,378,285,281,354,363,237,275,220,294,168,131,305,286.5
"26",26,632,338,555,326,400,240,157,365,412,390,358,410,224,403,234,389,428,96,458,423,317,452,279,279,277,328,334,267,271,240,338,680,431,352,480,444,323,267,424,321,320,419,442,261,316,246,320,183,149,352,336
"27",27,715,381,625,380,471,277,190,410,463,454,421,507,275,474,259,438,507,114,528,481,357,534,282,326,317,387,376,295,278,282,383,784,515,432,574,518,368,311,523,373,374,472,535,308,363,287,373,216,186,425,382
"28",28,797,435,742,413,563,325,230,478,516,535,480,609,348,543,305,509,562,135,605,564,390,621,336,366,378,457,434,346,321,320,438,932,586,509,637,609,432,374,632,420,420,533,618,351,412,318,432,260,221,469,436.5
"29",29,930,504,883,503,638,365,267,541,598,620,549,681,389,598,342,569,675,150,653,670,452,710,401,427,430,520,505,407,356,398,508,1082,676,569,756,691,494,442,719,496,511,666,738,405,469,365,484,298,243,554,509.5
"30",30,1075,611,1031,589,764,423,310,633,699,732,638,768,460,686,371,646,765,165,766,784,540,845,473,521,507,601,578,503,418,443,578,1305,799,646,874,788,569,494,813,576,576,766,880,456,551,409,583,349,302,643,595
"31",31,1216,704,1170,684,907,478,350,714,797,895,744,944,537,772,427,748,936,196,861,894,644,955,549,623,596,698,668,557,505,511,699,1494,903,749,1012,908,663,566,969,649,643,877,997,514,622,486,672,409,373,762,698.5
"32",32,1416,791,1327,759,1035,566,389,850,921,1057,841,1077,623,866,483,870,1072,214,1036,1047,712,1093,635,704,674,801,797,682,578,581,769,1723,1042,876,1180,1042,781,632,1137,730,727,1029,1125,562,716,574,790,475,428,894,794
"33",33,1651,932,1573,873,1195,640,445,1027,1078,1236,985,1241,711,1013,580,996,1247,246,1161,1235,825,1251,738,808,811,932,924,807,675,670,887,2007,1234,1060,1342,1193,910,712,1308,857,806,1179,1272,614,796,628,894,530,497,1017,928
