,Date,UP
1,03/14/2020,12
2,03/15/2020,1
3,03/16/2020,0
4,03/17/2020,2
5,03/18/2020,2
6,03/19/2020,3
7,03/20/2020,4
8,03/21/2020,4
9,03/22/2020,2
10,03/23/2020,2
11,03/24/2020,3
12,03/25/2020,3
13,03/26/2020,4
14,03/27/2020,7
15,03/28/2020,16
16,03/29/2020,7
17,03/30/2020,24
18,03/31/2020,8
19,04/01/2020,13
20,04/02/2020,11
21,04/03/2020,46
22,04/04/2020,60
23,04/05/2020,44
24,04/06/2020,27
25,04/07/2020,27
26,04/08/2020,29
27,04/09/2020,49
28,04/10/2020,23
29,04/11/2020,19
30,04/12/2020,31
31,04/13/2020,75
32,04/14/2020,102
33,04/15/2020,75
34,04/16/2020,70
35,04/17/2020,44
36,04/18/2020,126
37,04/19/2020,125
38,04/20/2020,84
39,04/21/2020,153
40,04/22/2020,112
41,04/23/2020,61
42,04/24/2020,111
43,04/25/2020,172
44,04/26/2020,80
