,Date,UP
1,03/14/2020,0
2,03/15/2020,0
3,03/16/2020,0
4,03/17/2020,0
5,03/18/2020,0
6,03/19/2020,0
7,03/20/2020,0
8,03/21/2020,0
9,03/22/2020,0
10,03/23/2020,0
11,03/24/2020,0
12,03/25/2020,0
13,03/26/2020,0
14,03/27/2020,0
15,03/28/2020,0
16,03/29/2020,0
17,03/30/2020,0
18,03/31/2020,0
19,04/01/2020,2
20,04/02/2020,0
21,04/03/2020,0
22,04/04/2020,0
23,04/05/2020,1
24,04/06/2020,0
25,04/07/2020,0
26,04/08/2020,1
27,04/09/2020,0
28,04/10/2020,0
29,04/11/2020,1
30,04/12/2020,0
31,04/13/2020,0
32,04/14/2020,3
33,04/15/2020,3
34,04/16/2020,2
35,04/17/2020,1
36,04/18/2020,0
37,04/19/2020,3
38,04/20/2020,1
39,04/21/2020,3
40,04/22/2020,0
41,04/23/2020,3
42,04/24/2020,1
43,04/25/2020,2
44,04/26/2020,3
